Organization Name,Organization Type (Main Category),Organization Type (Sub-categories),Website,Country,State or Province,City,Street Address 1,Street Address 2,Postal Code,Contact First Name,Contact Last Name,Email,Organization Bio,Certified MWBE,Location
KND Licensed Electrical Contract,Onshore Construction Services,"Cable Pull-in,Electrical Completion,Electrical Works (Electrician),Onshore Cable Installation,Onshore Substation EPC",www.kndelectric.com,USA,NY,Deer Park,"120 Brook Ave, Unit B",,11729,Kristine,DeNapoli,krissy@kndelectric.com,"Founded in 1998, KND Electric (KND) is one of the region’s leading Licensed Electrical Contracting
and Services Corporations. KND is a certified WBE and DBE. The firm services Long Island, New York City and select regions in New York State and currently employs over 70 professionals. KND is also licensed in New Jersey. KND provides superior quality electrical services to its clients in all phases of construction, from complex renovations and gut rehabilitations to new construction and sophisticated power systems. The firm has over 25 years of experience, with a long history of electrical contracting experience spanning over 50 years. Services include, Audio Visual Systems, Building Maintenance Systems, Building Retrofit, Data Network, Cable, Energy Efficiency Installations, Fire Alarm Systems, Generators, Life Safety, Lighting Systems, Power Systems, New Construction, Nurse Call Systems, Preventative Maintenance, Renovations, Security Systems, Site Lighting. Clients include: DASNY, Empire State Development, MTA New York City Transit, MTA, Long Island Rail Road, NYC Environmental Protection, NYC School Construction Authority, NYC Department of Parks and Recreation, NYC Department of Transportation, NYC Economic, Development Corporation, AVI-SPL, Columbia University, EW Howell, Delta, IVCI, Hunter Roberts, Construction Group, Johnson Controls, Lendlease, Skanska, Siemens, Tec Systems, Tyco, Turner.",Yes,POINT (-73.30861 40.74665)
"Kokosing Industrial, Inc. Durocher Marine",Offshore Const./Ops. and Vessels,"Cable Pull-in,Subsea Cable Installation",www.kokosingindustrial.com/marine/cable-services/,USA,Michigan,Cheboygan,958 North Huron Street,,49721,Mark,Henrikson,mhenrikson@durocher.biz,"Kokosing Industrial's Durocher Marine Division is particularly in interested in cable installation for the Offshore Wind market.  We have successfully installed over 70 subsea cable systems over the last 50 years, and have worked extensively throughout North America and the Caribbean.  We own and operate a large fleet of cable installation equipment and offer a talented workforce with a proven history of successful projects.  Our list of services include offshore and near shore cable installation, cable burial, cable protection, PLGR, pre route survey, route investigation and clearance, and as built survey.",,POINT (-84.47097 45.65258)
KONGSTEIN,Consulting Services,"Asset Management,Construction Support,Logistics Planning & Management,O&M Consulting Services,Other Consulting,Project Management,Risk Assessment,Vessel Management Services",kongstein.com,Germany,Hamburg,Hamburg,Poststrasse 33,,20354,Thorsten,Schuett,am@kongstein.com,"KONGSTEIN is dedicated to providing best of class engineering and consulting solutions to both the Offshore Renewables sector and the Maritime Industry. Within these industries, we serve a diverse portfolio of clients. In Offshore Renewables, we focus on turbine manufacturers and operators, as well as on project developers and asset owners. Our clients in the Maritime Industry include innovative shipyards focused on clean propulsion solutions, as well as major ship design offices focused on high tech vessels. The common thread throughout our markets and clients is our clear commitment to clean energy at sea, facilitated by our network of Norwegian and German engineers and mariners. KONGSTEIN combines Norwegian innovative culture and marine competence with German focus on details and efficiency, to provide quality services and smart, innovative solutions. Our partners accumulated many decades of hands-on experience in major projects within the offshore energy and maritime industries and connect with a pool of highly qualified specialists world-wide. This unrivalled practical experience ensures our clients receive a solid approach to designing, operating and de-risking offshore projects. Our experience with European offshore projects includes: alpha ventus, DanTysk, Helwin Alpha, Borwin Beta, HyWind Scotland, Nordsee One, Deutsche Bucht and Albatros.",No,POINT (-74.60411 41.15121)
Koval Contracting LLC,Onshore Construction Services,Electrical Works (Electrician),www.kovalcontracting.com/,USA,New York,Waterford,110 Button Road,,12188,,,,"Koval Contracting is an electrical contractor providing general and some specialised services: 'large bucket truck' services, energy efficiency upgrades, small-to-large generator installation and rapid emergency repair deployment.",,POINT (-73.70616 42.84772)
KVC Services Inc.,Consulting Services,"Construction Support,Information and IT Services,Logistics Planning & Management,Other Consulting",www.kvcserve.com,USA,New York,Valley Stream,70 E. Sunrise Hwy Ste 500,,11581,Katelyn,Gill,admin@kvcserve.com,"KVC Services Inc. is a certified NYS WBE with experience working with large corporations, K-12 school districts, and government agencies. We provide a variety of goods and services, including worksite labor, warehousing (and related labor), trucking, compliance training, office supplies, and construction supplies. Our recent customers include Siemens, NYC Department of Sanitation, and various Long Island public school districts.",Yes,POINT (-73.69695 40.65901)
KVC Services Inc.,Labor Organizations,"Labor Management Organization,Offshore Wind Worker Supply,Technical Training",www.kvcserve.com,USA,New York,Valley Stream,70 E. Sunrise Hwy Ste 500,,11581,Katelyn,Gill,admin@kvcserve.com,"KVC Services Inc. is a certified NYS WBE with experience working with large corporations, K-12 school districts, and government agencies. We provide a variety of goods and services, including worksite labor, warehousing (and related labor), trucking, compliance training, office supplies, and construction supplies. Our recent customers include Siemens, NYC Department of Sanitation, and various Long Island public school districts.",Yes,POINT (-73.69695 40.65901)
KVC Services Inc.,Onshore Construction Services,"HSE Management (Construction),Painting (Construction),Project Management (Construction)",www.kvcserve.com,USA,New York,Valley Stream,70 E. Sunrise Hwy Ste 500,,11581,Katelyn,Gill,admin@kvcserve.com,"KVC Services Inc. is a certified NYS WBE with experience working with large corporations, K-12 school districts, and government agencies. We provide a variety of goods and services, including worksite labor, warehousing (and related labor), trucking, compliance training, office supplies, and construction supplies. Our recent customers include Siemens, NYC Department of Sanitation, and various Long Island public school districts.",Yes,POINT (-73.69695 40.65901)
KVC Services Inc.,Specialist Services,"Cleaning and Maintenance,Component Storage,Information and IT Services,Other Consulting,Other Logistics Services,Security Services",www.kvcserve.com,USA,New York,Valley Stream,70 E. Sunrise Hwy Ste 500,,11581,Katelyn,Gill,admin@kvcserve.com,"KVC Services Inc. is a certified NYS WBE with experience working with large corporations, K-12 school districts, and government agencies. We provide a variety of goods and services, including worksite labor, warehousing (and related labor), trucking, compliance training, office supplies, and construction supplies. Our recent customers include Siemens, NYC Department of Sanitation, and various Long Island public school districts.",Yes,POINT (-73.69695 40.65901)
L.F.G. Rigging Inc.,Specialist Services,Heavy Lift Services,www.lfgrigging.com/,USA,New York,Brentwood,94 Cocoanut Street,,11717,,,,L.F.G. Rigging provides crane services for Long Island and New York City and manages planning and permitting of lifts.,,POINT (-73.2121 40.77001)
L.K. McLean Associates,Consulting Services,"Consents and Permitting,Construction Support,Engineering (Civil),Feasibility Studies,Siting and Planning,Technical Surveys (Perform)",www.lkma.com,USA,New York,Brookhaven,437 South Country Road,,11719,Ray,DiBiase,rdibiase@lkma.com,"L.K. McLean Associates, PC (LKMA) was founded in 1950 and currently has a staff over 85 people (21 of whom are licensed). LKMA provides a broad range of services for the planning, design, and construction of public and private sector projects, including: survey and mapping; highway and drainage design, traffic engineering; coastal and marine design;  parks design; site design; solid waste management; architecture; environmental assessments; transportation planning and construction inspection / administration.  The firm's clients include nine of the ten Townships in Suffolk County, the Suffolk County Department of Public Works (for 50 years), and the NY State Department of Transportation (for more than 25 years).",No,POINT (-72.91614 40.7829)
LaBella Associates D.P.C.,Consulting Services,Project Management; Engineering (Electrical); Engieneering (Environmental); Environmental Consulting,www.labellapc.com,USA,New York,Rochester,300 State Street,Suite 201,14614,Ellen,Kremer,,"Labella Associates, a Design Professional Corporation, is a full service firm providing architecture, engineering, planning, and environmental services. Labella Associates provides construction inspection and environmental monitoring services for wind farm projects (including in Southern Tier New York). Labella helps ensure compliance with the contract documents, as well as municipal and agency regulatory requirements.",,POINT (-77.61808 43.16038)
Laborers LU #17 Newburgh,Labor Organizations,Labor Union (Civil Construction),www.liuna17.com/,USA,New York,Newburgh,451A Little Britain Road,,12550,,,,"LiUNA local union no. 17 for General Laborers in the area of Newburgh, NY.",,POINT (-74.04773 41.49417)
Laborers LU #35 Whitesboro,Labor Organizations,Labor Union (Civil Construction),www.liuna35.org/home,USA,New York,Whitesboro,10 Main Street,Suite 205,13492,Carmen Jr.,Nicotera,,"LiUNA local union no. 35 for General Laborers in the area of Whitesboro, NY.",,POINT (-75.28532 43.11782)
Laborers LU #60 Hawthorne,Labor Organizations,Labor Union (Civil Construction),www.liunalocal60.com/,USA,New York,Hawthorne,140 Broadway,,10532,,,,"LiUNA local union no. 60 for construction laborers, covering NY state counties Westchester and Putnam. Workers are infrastructure constructors, with projects including water, sewers, drainage, roads, bridges, gas pipelines, aquaducts, dams and water treatment plants.",,POINT (-73.8018 41.10722)
Laborers LU #66 Melville,Labor Organizations,Labor Union (Civil Construction),www.laborers66.com/,USA,New York,Melville,1600 Walt Whitman Road,The Bruno Leone Building,11747,Steve,Flanagan,,"General Building Laborers Local 66 (LiUNA) covering Nassau & Suffolk Counties, Long Island.",,POINT (-73.42436 40.77744)
Laborers LU #79 New York,Labor Organizations,Labor Union (Civil Construction),www.local79.org/,USA,New York,New York,520 8th Avenue,Suite 679,10018,,,,"LiUNA local union no. 79 for construction laborers in the five boroughs of New York City. Scope of work includes: Mason Tending, Interior & Total Demolition, General Conditions, Plasterer Tending, Mortar Mixing (For Bricklayers), Fire Watch, Fireproofing, Fireproofing Mixing, Scaffolding (Hanging & Pipe), Restoration Work, Temporary Heat, Flagging, Punchlist.",,POINT (-73.99227 40.75382)
Laborers LU #91 Niagara Falls,Labor Organizations,Labor Union (Civil Construction),www.laborerslocal91.org/,USA,New York,Niagara Falls,4500 Witmer Industrial Estates,,14305,,,,General laborers (LiUNA) Local 91 for the Niagara area.,,POINT (-79.01308 43.12624)
Laborers LU #210 Buffalo,Labor Organizations,Labor Union (Civil Construction),www.laborers210.org/,USA,New York,Cheektowaga,25 Tyrol Drive,,14227,,,,"LiUNA local union no. 210 for General Laborers in the area of Buffalo, NY.",,POINT (-78.75265 42.87253)
Laborers LU #235 Elmsford,Labor Organizations,Labor Union (Civil Construction),www.nysliuna.org/local-unions/laborers-local-235/,USA,New York,Elmsford,41 Knollwood Road,,10523,Dario,Boccarossa,,"LiUNA local union no. 235 for General Laborers in the capital region/Hudson Valley, serving Putnam, Dutchess and Westchester counties, NY.",,POINT (-73.80314 41.04822)
Laborers LU #435 Rochester,Labor Organizations,Labor Union (Civil Construction),www.local435.com/,USA,New York,Rochester,20 Fourth Street,,14609,,,,"LiUNA local union no. 435 for General Laborers, covering the NY state counties: Genesee, Livingston, Monroe, Ontario, Orleans, Seneca, Wayne, Wyoming and Yates.",,POINT (-77.58551 43.16289)
Laborers LU #621 Southern Tier,Labor Organizations,Labor Union (Civil Construction),www.laborers621.com/,USA,New York,Olean,1521 North Union Street,,14760,Edward Jr.,Giardini,,"LiUNA local no. 621 representing skilled construction laborers in Chautauqua, Cattaraugus, and Allegany counties, in Southwestern NY.",,POINT (-78.43809 42.09641)
Laborers LU #633 Syracuse,Labor Organizations,Labor Union (Civil Construction),www.laborers633.org/,USA,New York,East Syracuse,7051 Fly Road,Suite A,13057,Gabriel Jr.,Rosetti,,"LiUNA local union no. 663 for construction laborers in NY state counties Cayuga, Onondaga and Oswego. Workers are trained and certified in asbestos removal, Haz-Mat work, pipeline work, road repair and construction, etc.",,POINT (-76.06135 43.11261)
Laborers LU #731 Astoria,Labor Organizations,Labor Union (Civil Construction),www.local731.org/Frame_About.html,USA,New York,Astoria,3411 35th Avenue,,11106,Joseph,D'Amato,,"LiUNA local union no. 731 for General Laborers in the area of Astoria, NY.",,POINT (-73.92555 40.75674)
Laborers LU #754 Chestnut Ridge,Labor Organizations,Labor Union (Civil Construction),www.local754.com/,USA,New York,Chestnut Ridge,215 Old Nyack Turnpike,,10977,,,,"LiUNA local union no. 754 for Construction Craft Laborers in the area of Chestnut Ridge, NY.",,POINT (-74.05061 41.10048)
Laborers LU #785 Ithaca,Labor Organizations,Labor Union (Civil Construction),www.laborers785.org/,USA,New York,Ithaca,622 West State Street,,14850,David,Marsh,,General laborers (LiUNA) Local 785 for the Ithaca area.,,POINT (-76.50949 42.43923)
Laborers LU #1010 Whitestone,Labor Organizations,Labor Union (Civil Construction),www.laborerslocal1010.com/,USA,New York,Whitestone,17-20 Whitestone Expy,2nd Floor,11357,,,,"LiUNA local union no. 1010 for Pavers/General Laborers in the area of Whitestone, NY.",,POINT (-73.82571 40.78372)
Laborers LU #1298 Hempstead,Labor Organizations,Labor Union (Civil Construction),www.local1298.com/,USA,New York,Hempstead,681 Fulton Avenue,,11550,George Jr.,Truicko,,"LiUNA local 1298 representing skilled laborers in the construction industry in Nassau and Suffolk Counties, Long Island, NY.",,POINT (-73.60876 40.71228)
Laborers LU #1822 Massena,Labor Organizations,Labor Union (Civil Construction),www.liuna1822.org/,USA,New York,Massena,49 1/2 Maple Street,,13662,Richard,Daddario,,"LiUNA local union no. 1822 for General Laborers in the area of Massena, NY.",,POINT (-74.89647 44.93536)
LafargeHolcim,Manufactured Products,"Concrete Structures,Scour Protection Materials",www.LafargeHolcim.us,USA,Illinois,Chicago,8700 West Bryn Mawr Ave Suite 300,,60631,Darryl,Neapolitano,darryl.neapolitano@lafargeholcim.com,"LafargeHolcim is a global leader in the supply of cement, aggregates, and ready mix concrete. We have a cement plant in Ravena, NY, aggregates in Ravena, NY, and cement terminals in College Point and Brooklyn NY as well as Bayonne NJ.",No,POINT (-87.84331 41.98223)
Lakeside Precision Inc.,Manufacturing and Fabrication Srvcs.,Machining; Precision Manufacturing,www.lakesideprecision.com/,USA,New York,Dunkirk,208 Dove Street,,14048,Hugh,Graves,,Precision manufacturing contractor with various CNC and manual high precision equipment.,,POINT (-79.33981 42.48497)
Laland Baptiste,Consulting Services,"Engineering (Civil),Project Management,Siting and Planning",www.lalandbaptiste.com,USA,New York,Melville,150 Broadhollow Road - Suite 222,,11747,Schillivia,Baptiste,info@lalandbaptiste.com,"Laland Baptiste is a MWBE certified construction management firm dedicated to providing leadership, organization, supervision, and direction to our clients and their projects.",Yes,POINT (-73.41659 40.78815)
Landair Project Resources Inc.,Consulting Services,Project Management,www.projectresourcesgroup.com,USA,New York,New York,39 W 32nd Street,Suite 1402,10001,Leith,Meulen,,"Landair brings together the team, plan, tools and strategy to develop projects and programs enabling clients to accurately achieve their goals today, while being mindful of a 360 degree view of their future growth and potential.",,POINT (-73.98745 40.74798)
Landmark Electric Inc.,Onshore Construction Services,Electrical Works (Electrician),www.landmarkelectric.net/,USA,New York,Rochester,50 Commerce Drive,,14623,,,,"Commercial and industrial electrical contractor, experience ranging from remodeling projects to new buildings to machine wiring.",,POINT (-77.64249 43.08161)
Lapp Insulators LLC,Manufactured Products,Other Manufactured Products,www.leroy.lappinsulators.com,USA,New York,LeRoy,130 Gilbert St,,14482,Doug,Perkins,dperkins@lappinsulators.com,"Lapp has been in business in LeRoy, NY since 1916. Lapp is the 3rd largest supplier in the world, of porcelain insulators.   We manufacture porcelain, electrical insulators for electric substation and electric transmission line applications.",No,POINT (-78.00514 42.97109)
Large Diameter Drilling Ltd (LDD),Consulting Services,"Construction Support,Engineering (Civil),Engineering (Structural),Heavy Lift Consulting",www.lddrill.com,UK,Camborne,Cornwall,"Kerrek House, Tolvaddon Business Park",,TR14 0HZ,Luke,Bateman,luke.bateman@lddrill.com,"Utilising over 30 years of experience, LDD is a global provider of marine foundation solutions. With expertise spanning across nearshore and offshore industries, our team is passionate about providing the best solutions for your next project.

Through our engineering and contracting track record, we have established ourselves as market leaders in the delivery of marine foundation solutions across the globe. Our expertise and passion to solve problems, drives us to design, build, manufacture and operate a range of equipment to meet project specific challenges. Our team's focus is getting it right, first time, on time, every time.

At LDD, we will work closely with you to develop an understanding of your specific project goals and tailor a solution that is right for you. By sharing objectives, LDD can offer our clients, full installation packages to optimise value and aggregate supply chains. Opting for these solutions can help to minimise the demands of procurement and management for our clients, whilst developing long-term and collaborative relationships. This can ensure that timely and seamless services are delivered for project scopes that are often complex and completed in challenging environments.

Alternatively, if it's a discrete rental solution you require, we will also be pleased to help. LDD has access to an extensive range of piling equipment, including custom-built solutions and multi-disciplined crews ready to suit your needs.

We pride ourselves on providing the right solution to our clients, delivering What We Say, When We Say, Safely.",No,
Large Diameter Drilling Ltd (LDD),Manufacturing and Fabrication Srvcs.,"Metal Fabrication (General),Other Metal Working,Product Design",www.lddrill.com,UK,Camborne,Cornwall,"Kerrek House, Tolvaddon Business Park",,TR14 0HZ,Luke,Bateman,luke.bateman@lddrill.com,"Utilising over 30 years of experience, LDD is a global provider of marine foundation solutions. With expertise spanning across nearshore and offshore industries, our team is passionate about providing the best solutions for your next project.

Through our engineering and contracting track record, we have established ourselves as market leaders in the delivery of marine foundation solutions across the globe. Our expertise and passion to solve problems, drives us to design, build, manufacture and operate a range of equipment to meet project specific challenges. Our team's focus is getting it right, first time, on time, every time.

At LDD, we will work closely with you to develop an understanding of your specific project goals and tailor a solution that is right for you. By sharing objectives, LDD can offer our clients, full installation packages to optimise value and aggregate supply chains. Opting for these solutions can help to minimise the demands of procurement and management for our clients, whilst developing long-term and collaborative relationships. This can ensure that timely and seamless services are delivered for project scopes that are often complex and completed in challenging environments.

Alternatively, if it's a discrete rental solution you require, we will also be pleased to help. LDD has access to an extensive range of piling equipment, including custom-built solutions and multi-disciplined crews ready to suit your needs.

We pride ourselves on providing the right solution to our clients, delivering What We Say, When We Say, Safely.",No,
Large Diameter Drilling Ltd (LDD),Offshore Const./Ops. and Vessels,"Full-scope Offshore EPC,Marine Construction Services (Light),O&M Support Services,Offshore Construction Services (Heavy),Offshore Grouting Services,Offshore Logistics Provision,Offshore Mooring,Offshore O&M Services,Offshore Transport Services (Heavy),Subsea Engineering,Subsea Excavation,Technical Surveys (Perform)",www.lddrill.com,UK,Camborne,Cornwall,"Kerrek House, Tolvaddon Business Park",,TR14 0HZ,Luke,Bateman,luke.bateman@lddrill.com,"Utilising over 30 years of experience, LDD is a global provider of marine foundation solutions. With expertise spanning across nearshore and offshore industries, our team is passionate about providing the best solutions for your next project.

Through our engineering and contracting track record, we have established ourselves as market leaders in the delivery of marine foundation solutions across the globe. Our expertise and passion to solve problems, drives us to design, build, manufacture and operate a range of equipment to meet project specific challenges. Our team's focus is getting it right, first time, on time, every time.

At LDD, we will work closely with you to develop an understanding of your specific project goals and tailor a solution that is right for you. By sharing objectives, LDD can offer our clients, full installation packages to optimise value and aggregate supply chains. Opting for these solutions can help to minimise the demands of procurement and management for our clients, whilst developing long-term and collaborative relationships. This can ensure that timely and seamless services are delivered for project scopes that are often complex and completed in challenging environments.

Alternatively, if it's a discrete rental solution you require, we will also be pleased to help. LDD has access to an extensive range of piling equipment, including custom-built solutions and multi-disciplined crews ready to suit your needs.

We pride ourselves on providing the right solution to our clients, delivering What We Say, When We Say, Safely.",No,
Large Diameter Drilling Ltd (LDD),Specialist Services,"Decommissioning Services,Heavy Lift Services,O&M Support Services,O&M Work Contractor (Specialist)",www.lddrill.com,UK,Camborne,Cornwall,"Kerrek House, Tolvaddon Business Park",,TR14 0HZ,Luke,Bateman,luke.bateman@lddrill.com,"Utilising over 30 years of experience, LDD is a global provider of marine foundation solutions. With expertise spanning across nearshore and offshore industries, our team is passionate about providing the best solutions for your next project.

Through our engineering and contracting track record, we have established ourselves as market leaders in the delivery of marine foundation solutions across the globe. Our expertise and passion to solve problems, drives us to design, build, manufacture and operate a range of equipment to meet project specific challenges. Our team's focus is getting it right, first time, on time, every time.

At LDD, we will work closely with you to develop an understanding of your specific project goals and tailor a solution that is right for you. By sharing objectives, LDD can offer our clients, full installation packages to optimise value and aggregate supply chains. Opting for these solutions can help to minimise the demands of procurement and management for our clients, whilst developing long-term and collaborative relationships. This can ensure that timely and seamless services are delivered for project scopes that are often complex and completed in challenging environments.

Alternatively, if it's a discrete rental solution you require, we will also be pleased to help. LDD has access to an extensive range of piling equipment, including custom-built solutions and multi-disciplined crews ready to suit your needs.

We pride ourselves on providing the right solution to our clients, delivering What We Say, When We Say, Safely.",No,
Lautec US Inc.,Consulting Services,"Information and IT Services,Logistics Planning & Management,Project Management,Risk Assessment,Strategic Advisory,Wind Resource and Layout",lautec.com,USA,Massachusetts,Boston,120 St James Avenue 6 FL The Yar,,2116,Nick,Zenkin,nze@lautec.com,"Lautec US Inc is a part of the Lautec Group founded in Copenhagen, Denmark in 2016. Lautec is a world leader in providing consulting and cloud-based systems for offshore wind development projects. Lautec specializes in cross-project disciplines for the management of time, risks, interfaces, quality, and geospatial data. These cutting-edge consulting services and IT solutions include daily progress reporting (DPR), quality inspection, sequential downtime modeling, and interactive data visualization services. Lautec US Inc continues to build on the experiences obtained through the years of consultancy experience in the offshore wind industry in Europe, Asia, and the United States.",,POINT (-71.07535 42.34972)
Lautec US Inc.,Other Organizations,IT Products and Systems,lautec.com,USA,Massachusetts,Boston,120 St James Avenue 6 FL The Yar,,2116,Nick,Zenkin,nze@lautec.com,"Lautec US Inc is a part of the Lautec Group founded in Copenhagen, Denmark in 2016. Lautec is a world leader in providing consulting and cloud-based systems for offshore wind development projects. Lautec specializes in cross-project disciplines for the management of time, risks, interfaces, quality, and geospatial data. These cutting-edge consulting services and IT solutions include daily progress reporting (DPR), quality inspection, sequential downtime modeling, and interactive data visualization services. Lautec US Inc continues to build on the experiences obtained through the years of consultancy experience in the offshore wind industry in Europe, Asia, and the United States.",,POINT (-71.07535 42.34972)
Lawman Heating and Cooling Inc.,Onshore Construction Services,Pipefitting,www.lawmaninc.com/,USA,New York,Sackets Harbor,206 Ambrose Street,,13685,,,,Lawman Heating and Cooling Inc.provides HVAC and plumbing services.,,POINT (-76.12258 43.94534)
"LB Electric Co., LLC",Not Provided,Not Provided,www.lbelectricco.com,USA,New Jersey,Cedar Grove,50 Commerce Road,,7009,Leon,Baptiste,lbaptiste@lbelectricco.com,"LB Electric Co., LLC is an electrical contractor and engineering firm offering a full spectrum of services to commercial, industrial, institutional, government and healthcare agencies.
Our staff maintains a high commitment to safety and health, keeping accidents and injuries to a zero policy. We strive to maintain compliance with federal, state and local safety and health regulations.",Yes,POINT (-74.22679 40.86463)
"Legion Lighting Co., Inc",Manufactured Products,"Flanges,Lighting,Metal or GRP Enclosures,Other Manufactured Products,Sheet Metal,Steel Structures,Switchgear","Legion Lighting Co., Inc",USA,NY,HAUPPAUGE,155 MARCUS BLVD,,11510,Michael,Bellovin,mbellovin@legionlighting.com,We manufacture commercial and institutional lighting fixtures and have a complete metal fabricating and powder coating facility,No,POINT (-73.24653 40.81397)
"Legion Lighting Co., Inc",Manufacturing and Fabrication Srvcs.,"Electricals,Metal Fabrication (General),Other Metal Working","Legion Lighting Co., Inc",USA,NY,HAUPPAUGE,155 MARCUS BLVD,,11510,Michael,Bellovin,mbellovin@legionlighting.com,We manufacture commercial and institutional lighting fixtures and have a complete metal fabricating and powder coating facility,No,POINT (-73.24653 40.81397)
Lehigh Hanson Inc. (HeidelbergCement),Manufactured Products,Concrete Structures,www.lehighhanson.com/home,USA,New York,New York,63 Flushing Avenue,Unit 295,12801,,,,Cement supplier. Lehigh and Hanson business units of HeidelbergCement (in North America) became known as Lehigh Hanson Inc. in 2018.,,POINT (-73.97924 40.69884)
Liberty Green Logistics,,"Accommodation Vessel Supply,Barge Supply,Cable Laying Ship Supply,Cable Pull-in,Crew Transfer Vessel (CTV) Supply,Diving Services,Marine Construction Services (Light),O&M Support Services,Offshore Grouting Services,Offshore Logistics Provision,Offshore O&M Services,Offshore Transport Services (Heavy),Other Construction Vessel Supply,Other Support Vessel Supply,Ports and Stevedoring Services,Remote Monitoring and Control Services,Remote Operation Vessel (ROV) Supply,RO-RO Vessel (Supply),Subsea C",www.libertygreenlogistics.com,USA,New York,Lake Success,1979 Marcus Ave.,,11042,Timothy,Axelsson,taxelsson@libertymar.com,"Liberty Green Logistics LLC is a new vertical in the Liberty group of companies (Liberty). Liberty is headquartered in Lake Success NY and is a 100% Jones Act qualified entity with offices located throughout the US east coast and Gulf coast and international locations in the EU, Middle East and Asia. Liberty was formed in 1988 with 34 yearsâ€™ experience in all aspects of maritime transportation, end to end logistics, and US flag vessel ownership and operations. 

The Liberty Green consortium is created to provide a collaborative engagement with the supply chain in all states buying offshore wind electricity. We do this by seeking and qualifying viable entities that are engaged in offering services to the offshore wind industry and pitch these entities on the value of being stronger together towards the developer clients.

This consortium approach has attracted 17 companies to join our offshore wind supply chain consortium. Our supply chain partners that have joined the Liberty Green consortium provide services such as:
ï‚§	Port Terminal Services
ï‚§	Union Workforce at ports and onboard vessels
ï‚§	Heavy Lift Transport vessels
ï‚§	Heavy Lift Cranes & SPMTâ€™s
ï‚§	Freight Forwarding & Logistics
ï‚§	CTV services
ï‚§	BOP and Subsea services
ï‚§	Maritime training & certification
ï‚§	Safety and Security",No,POINT (-73.6932 40.75546)
Liberty Green Logistics,Labor Organizations,"Labor Union,Offshore Wind Worker Supply,Technical Training",www.libertygreenlogistics.com,USA,New York,Lake Success,1979 Marcus Ave.,,11042,Timothy,Axelsson,taxelsson@libertymar.com,"Liberty Green Logistics LLC is a new vertical in the Liberty group of companies (Liberty). Liberty is headquartered in Lake Success NY and is a 100% Jones Act qualified entity with offices located throughout the US east coast and Gulf coast and international locations in the EU, Middle East and Asia. Liberty was formed in 1988 with 34 yearsâ€™ experience in all aspects of maritime transportation, end to end logistics, and US flag vessel ownership and operations. 

The Liberty Green consortium is created to provide a collaborative engagement with the supply chain in all states buying offshore wind electricity. We do this by seeking and qualifying viable entities that are engaged in offering services to the offshore wind industry and pitch these entities on the value of being stronger together towards the developer clients.

This consortium approach has attracted 17 companies to join our offshore wind supply chain consortium. Our supply chain partners that have joined the Liberty Green consortium provide services such as:
ï‚§	Port Terminal Services
ï‚§	Union Workforce at ports and onboard vessels
ï‚§	Heavy Lift Transport vessels
ï‚§	Heavy Lift Cranes & SPMTâ€™s
ï‚§	Freight Forwarding & Logistics
ï‚§	CTV services
ï‚§	BOP and Subsea services
ï‚§	Maritime training & certification
ï‚§	Safety and Security",No,POINT (-73.6932 40.75546)
Liberty Green Logistics,Onshore Construction Services,"Cable Pull-in,Civil Construction,Diving Construction Services,Marine Terminal Construction,Overwater Civil Construction,Project Management (Construction)",www.libertygreenlogistics.com,USA,New York,Lake Success,1979 Marcus Ave.,,11042,Timothy,Axelsson,taxelsson@libertymar.com,"Liberty Green Logistics LLC is a new vertical in the Liberty group of companies (Liberty). Liberty is headquartered in Lake Success NY and is a 100% Jones Act qualified entity with offices located throughout the US east coast and Gulf coast and international locations in the EU, Middle East and Asia. Liberty was formed in 1988 with 34 yearsâ€™ experience in all aspects of maritime transportation, end to end logistics, and US flag vessel ownership and operations. 

The Liberty Green consortium is created to provide a collaborative engagement with the supply chain in all states buying offshore wind electricity. We do this by seeking and qualifying viable entities that are engaged in offering services to the offshore wind industry and pitch these entities on the value of being stronger together towards the developer clients.

This consortium approach has attracted 17 companies to join our offshore wind supply chain consortium. Our supply chain partners that have joined the Liberty Green consortium provide services such as:
ï‚§	Port Terminal Services
ï‚§	Union Workforce at ports and onboard vessels
ï‚§	Heavy Lift Transport vessels
ï‚§	Heavy Lift Cranes & SPMTâ€™s
ï‚§	Freight Forwarding & Logistics
ï‚§	CTV services
ï‚§	BOP and Subsea services
ï‚§	Maritime training & certification
ï‚§	Safety and Security",No,POINT (-73.6932 40.75546)
